filename,page_count,text_length,chars_per_page,native_vs_scanned,tagged,language,docling_success,table_count,docling_table_text_len,docling_text_len,docling_seconds,complexity_tier,gold_standard_match,pymupdf_error,docling_error
000252.pdf,8,13018,1627.25,native,False,en,True,10,21436,29656,10.1,Medium,000252.pdf,,
000255.pdf,9,13649,1516.5555555555557,native,True,en,True,11,22636,31104,6.2,Medium,000255.pdf,,
000260.pdf,8,11825,1478.125,native,False,en,True,10,18591,25858,5.3,Medium,000260.pdf,,
000263.pdf,8,11580,1447.5,native,False,en,True,10,21176,28118,5.3,Medium,000263.pdf,,
000338 - 1.pdf,9,14028,1558.6666666666667,native,False,en,True,9,15133,24560,5.8,Medium,,,
000338.pdf,9,14028,1558.6666666666667,native,False,en,True,9,15133,24560,5.7,Medium,000338.pdf,,
000393.pdf,9,11861,1317.888888888889,native,True,en,True,11,23906,30406,6.6,Medium,000393.pdf,,
000601.pdf,14,22381,1598.642857142857,native,False,en,True,13,61820,71655,11.4,Medium,000601.pdf,,
000623.pdf,122,207987,1704.811475409836,native,False,en,False,0,0,0,0.0,Hard,000623.pdf,,Pipeline StandardPdfPipeline failed
1.1.00216.2021.pdf,9,19493,2165.8888888888887,native,False,en,True,8,22935,38651,11.3,Medium,1.1.00216.2021.pdf,,
1.1.00284.2022.pdf,10,18613,1861.3,native,False,en,True,10,35950,50610,14.1,Medium,,,
1.1.00376.2022.pdf,12,21648,1804.0,native,False,en,True,12,30314,46224,18.1,Medium,1.1.00376.2022.pdf,,
1.1.00381.2022.pdf,12,22300,1858.3333333333333,native,False,en,True,12,44444,60712,18.6,Medium,1.1.00381.2022.pdf,,
252.pdf,16,27465,1716.5625,native,True,en,True,13,54724,69681,13.6,Hard,,,
255.pdf,46,72934,1585.5217391304348,native,True,en,True,41,209071,237078,51.6,Hard,,,
263.pdf,30,49286,1642.8666666666666,native,True,en,True,27,112502,134021,31.9,Hard,,,
338.pdf,19,30474,1603.8947368421052,native,True,en,True,13,67313,82664,17.4,Hard,,,
393.pdf,9,11861,1317.888888888889,native,True,en,True,11,23906,30406,7.3,Medium,,,
4172023.pdf,17,35012,2059.529411764706,native,True,en,True,15,44289,58212,18.4,Hard,417/2023.pdf,,
433.pdf,18,25864,1436.888888888889,native,True,en,True,12,57289,69580,19.4,Hard,,,
438.pdf,18,25848,1436.0,native,True,en,True,12,48982,61320,19.8,Hard,,,
4791540199.101.1.pdf,16,26885,1680.3125,native,True,en,True,18,34200,49066,12.5,Hard,4791540199.101.1.pdf,,
4791540199.102.1.pdf,22,37923,1723.7727272727273,native,True,en,True,24,147164,165578,22.7,Hard,4791540199.102.1.pdf,,
4791540199.103.1.pdf,19,30467,1603.5263157894738,native,True,en,True,20,32396,51426,13.9,Hard,4791540199.103.1.pdf,,
601.pdf,14,22381,1598.642857142857,native,False,en,True,13,61820,71655,13.1,Medium,,,
EPD 20223-202209-20220929135748-DE-System.pdf,12,27078,2256.5,native,False,de,True,12,16909,39370,8.7,Hard,EPD 20223-202209-20220929135748-DE-System.pdf,,
EPD-IES-0003985002.pdf,12,21606,1800.5,native,True,en,True,13,30541,44765,11.0,Medium,EPD-IES-0003985:002.pdf,,
EPD-IGI-20170146-IBG2-EN.pdf,10,32758,3275.8,native,True,en,True,16,31083,56356,9.2,Medium,EPD-IGI-20170146-IBG2-EN.pdf,,
EPD-MIL-20230039-CBA1-EN.pdf,5,17940,3588.0,native,True,en,True,13,175233,183876,10.1,Medium,,,
EPD-P 05.11.2025.pdf,40,67129,1678.225,native,True,en,True,51,57398,88033,41.1,Hard,EPD-P 05.11.2025.pdf,,
EPD10557.pdf,17,30266,1780.3529411764705,native,True,en,True,14,17035,38007,7.5,Hard,EPD10557.pdf,,
EPD10558.pdf,17,30078,1769.2941176470588,native,True,en,True,14,16396,37623,7.3,Hard,EPD10558.pdf,,
EPD10567.pdf,19,36769,1935.2105263157894,native,True,en,True,19,49555,71911,14.4,Hard,EPD10567.pdf,,
ReTHiNK-105143.pdf,10,17406,1740.6,native,False,en,True,15,14468,22949,11.5,Medium,ReTHiNK-105143.pdf,,
ReTHiNK-65667.pdf,10,15697,1569.7,native,False,en,True,13,13744,20778,10.0,Medium,ReTHiNK-65667.pdf,,
ReTHiNK-80743.pdf,11,16659,1514.4545454545455,native,False,en,True,14,15190,23449,11.6,Medium,ReTHiNK-80743.pdf,,
SCS-EPD-06707.pdf,72,163570,2271.8055555555557,native,True,en,False,0,0,0,0.0,Hard,SCS-EPD-06707.pdf,,Pipeline StandardPdfPipeline failed
SCS-EPD-06708.pdf,28,62899,2246.3928571428573,native,True,en,True,22,71558,99942,32.8,Hard,SCS-EPD-06708.pdf,,
SCS-EPD-08783.pdf,23,66079,2873.0,native,True,en,True,17,117395,144917,30.7,Hard,SCS-EPD-08783.pdf,,
SCS-EPD-08784.pdf,22,59740,2715.4545454545455,native,True,en,True,17,74884,101854,22.5,Hard,SCS-EPD-08784.pdf,,
SCS-EPD-10447.pdf,38,91155,2398.815789473684,native,True,en,True,37,151949,180632,53.2,Hard,SCS-EPD-10447.pdf,,
ShawEPD025.pdf,15,26392,1759.4666666666667,native,True,en,True,15,17993,38632,9.9,Medium,,,
ShawEPD03.pdf,15,26442,1762.8,native,True,en,True,15,18192,38609,10.0,Medium,,,
