orig_idx,bucket,file_name,product_name,gwp_a1a3,notes
0,CLEAN,EPD-IES-0003985:002.pdf,Woven vinyl flooring delivered as tiles,4.39,
1,QUARANTINE,SCS-EPD-08784.pdf,Era 140 & 170,N/A,UNVERIFIED
2,CLEAN,SCS-EPD-08783.pdf,Craggan Flax,34.41,
3,CLEAN,000438.pdf,Macpherson Durable Matt Paint,1.96E-01,
4,CLEAN,000433.pdf,Crown Trade Fastflow Quick Dry Primer Undercoat,2.17E-01,
5,CLEAN,1.1.00527.2024.pdf,Dulux Trade Vinyl Matt,1.61 E-01,
6,CLEAN,1.1.00216.2021.pdf,Sikkens Exterior Solventbased Woodstain,2.59E-1,
7,CLEAN,1.1.00381.2022.pdf,Dulux Trade Weathershield Exterior Flexible Undercoat,2.73 E-1,
8,CLEAN,1.1.00376.2022.pdf,Dulux Trade Quick Dry Satinwood,4.76 E-1,
9,QUARANTINE,000393.pdf,"Altro Wood adhesive-free / Altro Cantata, 2.4mm",N/A,CONTAMINATED
10,QUARANTINE,000255.pdf,Altro Classic 25,N/A,CONTAMINATED
11,QUARANTINE,000338.pdf,Altro Fortis Titanium PVCu Walls Sheet,N/A,CONTAMINATED
12,QUARANTINE,000601.pdf,Altro Screed,N/A,CONTAMINATED
13,QUARANTINE,000338.pdf,Altro Whiterock Chameleon,N/A,CONTAMINATED
14,QUARANTINE,000263.pdf,Altro Wood Safety Comfort,N/A,CONTAMINATED
15,QUARANTINE,000252.pdf,Altro adhesive free products,N/A,CONTAMINATED
16,QUARANTINE,000260.pdf,"Altro Debolon R300.1, Altro Operetta, Altro Wood and Altro Zodiac",N/A,CONTAMINATED
17,CLEAN,1.1.00639.2024.pdf,DuoPlank® 20 mm Wood Flooring,-1.12E+00,
18,CLEAN,EPD-P 05.11.2025.pdf,OAK/PINE 15 MM LACQUERED,-4.87E+00,
19,QUARANTINE,417/2023.pdf,"3-LAYER WOODEN FLOORBOARD PUREPLANK, V COLLECTION (14 MM)",N/A,UNVERIFIED
20,QUARANTINE,4791540199.103.1.pdf,CQUEST™ BIO MODULAR CARPET TILE,N/A,UNVERIFIED
21,CLEAN,4791540199.102.1.pdf,CQUEST™ BIO MODULAR CARPET TILE WITH SOLUTION-DYED PA6 YARN,6.66E+00,
22,CLEAN,4791540199.101.1.pdf,SOUND CHOICE+ MODULAR RESILIENT FLOORING LVT,6.81E+00,
23,QUARANTINE,4791540199.103.1.pdf,CQUEST™ BIO MODULAR CARPET TILE,N/A,DUPLICATE
24,QUARANTINE,4791540199.102.1.pdf,CQUEST™ BIO MODULAR CARPET TILE WITH SOLUTION-DYED PA6 YARN,N/A,DUPLICATE
25,QUARANTINE,4791540199.101.1.pdf,SOUND CHOICE+ MODULAR RESILIENT FLOORING 4.5 MM LVT,N/A,DUPLICATE
26,QUARANTINE,SCS-EPD-06707.pdf,Knight Tile Luxury Vinyl Flooring,N/A,UNVERIFIED
27,QUARANTINE,SCS-EPD-06707.pdf,Van Gogh Luxury Vinyl,N/A,UNVERIFIED
28,QUARANTINE,SCS-EPD-06707.pdf,Van Gogh Luxury Vinyl,N/A,DUPLICATE
29,QUARANTINE,SCS-EPD-06707.pdf,Van Gogh Luxury Vinyl,N/A,DUPLICATE
30,CLEAN,SCS-EPD-10447.pdf,KORLOK/VAN GOGH RIGID CORE (6.5MM),12.8,
31,QUARANTINE,SCS-EPD-06708.pdf,Karndean Looselay Vinyl Flooring,N/A,UNVERIFIED
32,CLEAN,EPD-IGI-20170146-IBG2-EN.pdf,Vinyl Based Wallcoverings on Non-Woven Backing,4.47E-1,
33,QUARANTINE,EPD 20223-202209-20220929135748-DE-System.pdf,SCHÜCO FWS 50 B X H: 3050 MM X 3050 MM,N/A,UNVERIFIED
34,CLEAN,4789796942.142.1.pdf,Residential Broadloom Carpet with Polyester Face Fiber,9.32E+00,
35,CLEAN,4789796942.144.1.pdf,Residential Broadloom Carpet with Nylon-6 Face Fiber,1.37E+01,
36,QUARANTINE,EPD10557.pdf,B65W1301 Acrylic Polyurethane,N/A,EMPTY
37,QUARANTINE,EPD10558.pdf,Duraplate 301W N02301W10 Primer,N/A,EMPTY
38,QUARANTINE,EPD10567.pdf,M770GLOSS - UD Water-based Finish,N/A,EMPTY
39,QUARANTINE,ReTHiNK-65667.pdf,Capri Drapery Fabric,N/A,UNVERIFIED
40,CLEAN,ReTHiNK-80743.pdf,Colour Connect Upholstery Fabric,4.44E-1,
41,CLEAN,ReTHiNK-105143.pdf,OLEFIN WALLCOVERING 370 G/M2,1.42E+0,
42,QUARANTINE,000623.pdf,Aruba Mineral Ceiling Tile,N/A,UNVERIFIED
